"合约","类型","状态","触发条件","买卖","开平","投保","预埋时间","报单价格","报单手数","合约名"
"zn2309","条件单(时间)","已启动","行情时间到14:59:01","买","平今","投机","08:55:00","对价","1","ZN2309"
"zn2309","条件单(时间)","已启动","行情时间到14:59:02","买","平今","投机","08:55:00","对价","1","ZN2309"
"zn2309","条件单(时间)","已启动","行情时间到14:59:03","买","平今","投机","08:55:00","对价","1","ZN2309"
"zn2309","条件单(时间)","已启动","行情时间到14:59:04","买","平今","投机","08:55:00","对价","1","ZN2309"
