"合约","类型","状态","触发条件","买卖","开平","投保","预埋时间","报单价格","报单手数","合约名"
"p2309","条件单(时间)","已启动","行情时间到21:00:01","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:02","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:03","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:04","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:05","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:06","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:07","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:08","卖","开仓","投机","08:55:00","对价","1","P2309"
"p2309","条件单(时间)","已启动","行情时间到21:00:09","卖","开仓","投机","08:55:00","对价","1","P2309"
